gene_id,symbol,gene_name,log2_fold_change,logCPM,LR,PValue,FDR,entrezgene_id
ENSCAFG00845018065,CFL1,,2.069311344,11.44438124,376.0569107,8.98E-84,3.83E-81,476022
ENSCAFG00845016135,YBX1,,2.045307196,9.412470801,370.9670429,1.15E-82,4.76E-80,607025
ENSCAFG00845029833,NDUFB11,NADH:ubiquinone oxidoreductase subunit B11 [Source:HGNC Symbol;Acc:HGNC:20372],2.928881669,6.874075033,368.8044222,3.41E-82,1.37E-79,480894
ENSCAFG00845025287,,,2.610199944,6.326608475,367.9833053,5.14E-82,2.00E-79,119866325
ENSCAFG00845026325,C27H12orf57,chromosome 12 open reading frame 57 [Source:HGNC Symbol;Acc:HGNC:29521],2.9937608,9.407336291,367.264202,7.38E-82,2.79E-79,119866431
ENSCAFG00845016589,NDUFB5,NADH:ubiquinone oxidoreductase subunit B5 [Source:HGNC Symbol;Acc:HGNC:7700],2.941947206,6.71460046,365.5205878,1.77E-81,6.50E-79,478639
ENSCAFG00845023892,,,2.703008373,6.298159906,364.5360478,2.90E-81,1.04E-78,487870
ENSCAFG00845025328,YBX3,Y-box binding protein 3 [Source:NCBI gene (formerly Entrezgene);Acc:403728],3.32329249,8.198342084,362.005744,1.03E-80,3.59E-78,403728
ENSCAFG00845002628,,,2.66716155,7.967777905,359.547803,3.53E-80,1.20E-77,100686872
ENSCAFG00845014852,ATP5PF,,2.418522559,7.52957803,356.9495625,1.30E-79,4.30E-77,119867048
ENSCAFG00845009045,ARPC4,actin related protein 2/3 complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:707],2.489670488,10.26782424,355.3990343,2.83E-79,9.12E-77,106560075
ENSCAFG00845006499,MYL6,myosin light chain 6B [Source:HGNC Symbol;Acc:HGNC:29823],2.829803008,11.31948511,354.9538881,3.53E-79,1.11E-76,607030
ENSCAFG00845012776,SRSF6,serine and arginine rich splicing factor 6 [Source:HGNC Symbol;Acc:HGNC:10788],1.885468374,9.071110145,349.9745448,4.29E-78,1.32E-75,403667
ENSCAFG00845001785,CD53,CD53 molecule [Source:HGNC Symbol;Acc:HGNC:1686],2.254937571,10.18846163,349.3362492,5.91E-78,1.78E-75,100855953
ENSCAFG00845016341,NUP35,nucleoporin 35 [Source:HGNC Symbol;Acc:HGNC:29797],2.366830703,5.206215356,343.6904325,1.00E-76,2.95E-74,478830
ENSCAFG00845022043,CUTA,cutA divalent cation tolerance homolog [Source:HGNC Symbol;Acc:HGNC:21101],3.281610858,6.445758163,341.6424718,2.80E-76,8.05E-74,474874
ENSCAFG00845014671,UBXN6,UBX domain protein 6 [Source:HGNC Symbol;Acc:HGNC:14928],2.201473337,7.860262315,339.551054,7.99E-76,2.25E-73,485037
ENSCAFG00845002092,ETV2,RNA binding motif protein 42 [Source:HGNC Symbol;Acc:HGNC:28117],2.156919196,7.837786893,339.413936,8.56E-76,2.36E-73,612999
ENSCAFG00845019885,UQCRH,,2.423589296,8.342783239,339.3205035,8.97E-76,2.42E-73,608530
ENSCAFG00845018577,ENSA,endosulfine alpha [Source:HGNC Symbol;Acc:HGNC:3360],2.287152556,8.337087649,338.5736351,1.30E-75,3.45E-73,475837
ENSCAFG00845022781,SNRPD3,small nuclear ribonucleoprotein D3 polypeptide [Source:HGNC Symbol;Acc:HGNC:11160],2.473041139,7.119008423,338.0413299,1.70E-75,4.42E-73,607772
ENSCAFG00845022725,SOD1,superoxide dismutase 1 [Source:NCBI gene (formerly Entrezgene);Acc:403559],2.463193233,7.565287379,337.664438,2.06E-75,5.24E-73,403559
ENSCAFG00845001977,,,2.533600904,7.619416337,336.2343769,4.22E-75,1.05E-72,612644
ENSCAFG00845000407,,,2.011476319,7.52389931,332.2452289,3.12E-74,7.64E-72,610745
ENSCAFG00845008628,UBXN1,UBX domain protein 1 [Source:HGNC Symbol;Acc:HGNC:18402],2.343753127,8.052387516,332.1923778,3.20E-74,7.70E-72,476055
ENSCAFG00845029848,NDUFB3,NADH:ubiquinone oxidoreductase subunit B3 [Source:HGNC Symbol;Acc:HGNC:7698],2.684932852,6.005304379,330.3879328,7.91E-74,1.87E-71,100855975
ENSCAFG00845004386,UBB,ubiquitin B [Source:HGNC Symbol;Acc:HGNC:12463],1.915475286,10.5155741,330.3097287,8.23E-74,1.91E-71,479513
ENSCAFG00845018394,MRPL44,mitochondrial ribosomal protein L44 [Source:HGNC Symbol;Acc:HGNC:16650],2.805174232,6.592951707,327.7927756,2.91E-73,6.63E-71,100855653
ENSCAFG00845027706,PEBP1,phosphatidylethanolamine binding protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:477501],2.392414586,8.060320831,326.4313146,5.76E-73,1.29E-70,477501
ENSCAFG00845028855,LY96,lymphocyte antigen 96 [Source:HGNC Symbol;Acc:HGNC:17156],3.04893145,7.481284205,326.3278811,6.06E-73,1.34E-70,610524
ENSCAFG00845023459,OAZ2,ornithine decarboxylase antizyme 2 [Source:NCBI gene (formerly Entrezgene);Acc:478343],2.585525226,7.258697161,324.6040549,1.44E-72,3.12E-70,478343
ENSCAFG00845001816,CHTOP,chromatin target of PRMT1 [Source:HGNC Symbol;Acc:HGNC:24511],1.922584075,8.255011617,323.2171123,2.89E-72,6.06E-70,480140
ENSCAFG00845012384,OAZ1,ornithine decarboxylase antizyme 1 [Source:NCBI gene (formerly Entrezgene);Acc:476749],2.380076715,11.66584707,322.8928037,3.39E-72,7.02E-70,476749
ENSCAFG00845019400,COPE,COPI coat complex subunit epsilon [Source:HGNC Symbol;Acc:HGNC:2234],2.300667946,8.293158848,318.566106,2.97E-71,5.96E-69,476663
ENSCAFG00845013518,STMN1,,2.815155526,9.900003099,313.9370304,3.03E-70,5.99E-68,478175
ENSCAFG00845000991,RPS25,ribosomal protein S25 [Source:HGNC Symbol;Acc:HGNC:10413],2.285898474,10.76632573,312.5801937,5.99E-70,1.16E-67,479412
ENSCAFG00845003823,CWF19L2,CWF19 like cell cycle control factor 2 [Source:HGNC Symbol;Acc:HGNC:26508],2.593983663,5.991193917,311.8130187,8.80E-70,1.69E-67,479454
ENSCAFG00845007071,ESD,esterase D [Source:HGNC Symbol;Acc:HGNC:3465],1.705955636,6.320352008,310.8165884,1.45E-69,2.74E-67,607116
ENSCAFG00845020522,CHMP5,,2.228801422,6.214001876,309.2383489,3.20E-69,5.96E-67,474741
ENSCAFG00845007701,SLIRP,,3.155799806,5.503621103,308.0236203,5.89E-69,1.08E-66,490810
ENSCAFG00845010054,CCDC28A,coiled-coil domain containing 28A [Source:HGNC Symbol;Acc:HGNC:21098],2.218314682,5.857478715,306.4320044,1.31E-68,2.37E-66,476220
ENSCAFG00845021139,RAB1A,"RAB1A, member RAS onco family [Source:NCBI gene (formerly Entrezgene);Acc:403774]",2.075516805,8.304212157,305.5039712,2.08E-68,3.72E-66,403774
ENSCAFG00845025852,VMP1,vacuole membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:29559],2.724281436,9.760702896,304.7494858,3.04E-68,5.36E-66,119881609
ENSCAFG00845011027,EIF3E,eukaryotic translation initiation factor 3 subunit E [Source:HGNC Symbol;Acc:HGNC:3277],2.077602394,8.803177799,303.0811897,7.02E-68,1.22E-65,475070
ENSCAFG00845013707,TPRA1,transmembrane protein adipocyte associated 1 [Source:HGNC Symbol;Acc:HGNC:30413],2.347485653,8.059452054,301.7003338,1.40E-67,2.41E-65,484621
ENSCAFG00845020393,SUPT4H1,"SPT4 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11467]",2.416198675,7.9371648,301.1145874,1.88E-67,3.19E-65,609757
ENSCAFG00845022102,RBM12,copine 1 [Source:NCBI gene (formerly Entrezgene);Acc:477213],1.577783409,8.675979163,300.5103558,2.55E-67,4.27E-65,477213
ENSCAFG00845002358,CFAP20,cilia and flagella associated protein 20 [Source:HGNC Symbol;Acc:HGNC:29523],2.330562297,5.786993028,300.1264882,3.09E-67,5.11E-65,487256
ENSCAFG00845001263,HSPBP1,HSPA (Hsp70) binding protein 1 [Source:HGNC Symbol;Acc:HGNC:24989],2.607207069,5.547983888,299.9417668,3.39E-67,5.54E-65,476381
ENSCAFG00845000439,RUVBL2,RuvB like AAA ATPase 2 [Source:HGNC Symbol;Acc:HGNC:10475],2.277848792,6.341162649,298.4688666,7.10E-67,1.15E-64,476418
ENSCAFG00845026337,COQ10B,coenzyme Q10B [Source:HGNC Symbol;Acc:HGNC:25819],2.115506944,7.673973303,297.8187229,9.84E-67,1.57E-64,478853
ENSCAFG00845026489,#N/A,#N/A,2.499741432,8.099410508,297.1411929,1.38E-66,2.18E-64,#N/A
ENSCAFG00845020453,RPS27L,ribosomal protein S27 like [Source:HGNC Symbol;Acc:HGNC:18476],2.236887724,7.743325531,296.1494906,2.27E-66,3.54E-64,610569
ENSCAFG00845027786,TAF11,TATA-box binding protein associated factor 11 [Source:HGNC Symbol;Acc:HGNC:11544],2.053957646,5.974769912,294.1507154,6.20E-66,9.53E-64,474881
ENSCAFG00845021145,TUBA1B,tubulin alpha 1b [Source:HGNC Symbol;Acc:HGNC:18809],2.691007901,10.8901407,293.7159329,7.71E-66,1.16E-63,119866377
ENSCAFG00845009542,TRA2A,transformer 2 alpha homolog [Source:HGNC Symbol;Acc:HGNC:16645],1.708651366,7.986774899,293.7093443,7.73E-66,1.16E-63,482358
ENSCAFG00845012760,GBA,glucosylceramidase beta [Source:HGNC Symbol;Acc:HGNC:4177],2.331048038,7.055213032,292.4467185,1.46E-65,2.14E-63,612206
ENSCAFG00845025797,PHB2,prohibitin 2 [Source:HGNC Symbol;Acc:HGNC:30306],1.851408506,7.873602748,292.3129095,1.56E-65,2.27E-63,486716
ENSCAFG00845006500,SIRT6,sirtuin 6 [Source:HGNC Symbol;Acc:HGNC:14934],2.157118786,5.183412011,287.5940822,1.66E-64,2.39E-62,485045
ENSCAFG00845026764,TRAPPC1,trafficking protein particle complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19894],2.151005394,7.020346663,287.2269249,2.00E-64,2.84E-62,479490
ENSCAFG00845016992,DUSP11,dual specificity phosphatase 11 [Source:HGNC Symbol;Acc:HGNC:3066],1.836445733,6.531506926,287.0893574,2.14E-64,3.01E-62,483110
ENSCAFG00845016276,TRIR,telomerase RNA component interacting RNase [Source:HGNC Symbol;Acc:HGNC:28424],2.235116961,8.527801192,283.9226929,1.05E-63,1.46E-61,476700
ENSCAFG00845030809,COX8A,cytochrome c oxidase subunit VIIIA (ubiquitous) [Source:NCBI gene (formerly Entrezgene);Acc:476040],2.213174185,8.296459266,282.4147663,2.24E-63,3.08E-61,476041
ENSCAFG00845005198,EDF1,,1.769449756,7.608296925,281.2936692,3.92E-63,5.35E-61,480674
ENSCAFG00845030599,,,2.55614227,9.491043959,281.2320485,4.05E-63,5.46E-61,610457
ENSCAFG00845012267,ZNF207,zinc finger protein 207 [Source:HGNC Symbol;Acc:HGNC:12998],2.112279772,8.056329748,281.0909823,4.34E-63,5.80E-61,119881612
ENSCAFG00845024647,TP53,tumor protein p53 [Source:NCBI gene (formerly Entrezgene);Acc:403869],2.200430576,7.704739164,279.6217042,9.08E-63,1.20E-60,403869
ENSCAFG00845023767,GABARAPL2,GABA type A receptor associated protein like 2 [Source:HGNC Symbol;Acc:HGNC:13291],1.806092611,7.284029261,279.511398,9.60E-63,1.26E-60,479646
ENSCAFG00845007374,AHSA1,activator of HSP90 ATPase activity 1 [Source:HGNC Symbol;Acc:HGNC:1189],1.976951669,7.645942133,278.5730568,1.54E-62,1.99E-60,480402
ENSCAFG00845009822,AIP,aryl hydrocarbon receptor interacting protein [Source:HGNC Symbol;Acc:HGNC:358],2.072306717,6.838739938,277.0519372,3.30E-62,4.23E-60,610467
ENSCAFG00845003893,ATP6V0C,ATPase H+ transporting V0 subunit c [Source:HGNC Symbol;Acc:HGNC:855],2.174466287,6.747021213,275.0833264,8.85E-62,1.13E-59,479877
ENSCAFG00845003640,#N/A,#N/A,2.674690189,5.174300477,273.8542246,1.64E-61,2.07E-59,#N/A
ENSCAFG00845011824,RPL27A,ribosomal protein L27a [Source:NCBI gene (formerly Entrezgene);Acc:611398],2.191517199,10.58558365,273.7534727,1.73E-61,2.15E-59,611398
ENSCAFG00845014235,TSPO,translocator protein [Source:HGNC Symbol;Acc:HGNC:1158],2.358167722,8.05952419,273.5150339,1.94E-61,2.40E-59,474475
ENSCAFG00845011382,POLR3GL,RNA polymerase III subunit GL [Source:HGNC Symbol;Acc:HGNC:28466],2.603617843,5.661225825,273.2961866,2.17E-61,2.66E-59,608346
ENSCAFG00845011260,RBM8A,RNA binding motif protein 8A [Source:HGNC Symbol;Acc:HGNC:9905],1.703540839,7.391705669,273.187814,2.29E-61,2.78E-59,475827
ENSCAFG00845019420,INO80B,INO80 complex subunit B [Source:HGNC Symbol;Acc:HGNC:13324],2.268281817,5.976015585,272.286477,3.60E-61,4.29E-59,483105
ENSCAFG00845004317,#N/A,#N/A,3.007642371,4.123310437,272.1315209,3.89E-61,4.60E-59,#N/A
ENSCAFG00845029617,RAN,"RAN, member RAS onco family [Source:NCBI gene (formerly Entrezgene);Acc:100499482]",2.119061895,8.785376154,271.3016034,5.91E-61,6.91E-59,100499482
ENSCAFG00845031034,PRAF2,PRA1 domain family member 2 [Source:HGNC Symbol;Acc:HGNC:28911],2.878192117,7.304069496,271.060573,6.66E-61,7.73E-59,480912
ENSCAFG00845022136,VPS72,vacuolar protein sorting 72 homolog [Source:HGNC Symbol;Acc:HGNC:11644],1.868172586,6.737226006,270.1457224,1.05E-60,1.21E-58,475843
ENSCAFG00845021465,TMEM69,,2.580159855,4.763619971,268.4399662,2.48E-60,2.83E-58,100684315
ENSCAFG00845022269,COX5B,cytochrome c oxidase subunit 5B [Source:NCBI gene (formerly Entrezgene);Acc:474567],2.664561185,8.202623202,267.8238773,3.38E-60,3.82E-58,474567
ENSCAFG00845018536,DLA-DMB,"major histocompatibility complex, class II, DM beta [Source:NCBI gene (formerly Entrezgene);Acc:607827]",2.975479952,9.74990716,265.8208412,9.24E-60,1.04E-57,607827
ENSCAFG00845012085,HMGN2,high mobility group nucleosomal binding domain 2 [Source:NCBI gene (formerly Entrezgene);Acc:403686],1.912832246,8.97614207,265.269383,1.22E-59,1.36E-57,403686
ENSCAFG00845020536,SLC39A7,solute carrier family 39 member 7 [Source:VGNC Symbol;Acc:VGNC:46406],1.617942796,7.646867468,263.0515246,3.71E-59,4.09E-57,481736
ENSCAFG00845007765,SEC61B,SEC61 translocon subunit beta [Source:NCBI gene (formerly Entrezgene);Acc:404018],2.939874745,8.406753156,260.8838429,1.10E-58,1.20E-56,404018
ENSCAFG00845013733,GNAS,GNAS complex locus [Source:NCBI gene (formerly Entrezgene);Acc:403943],1.917841308,8.334225805,259.852145,1.85E-58,2.00E-56,403943
ENSCAFG00845006874,CD74,CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697],2.388808337,13.48480868,258.7829903,3.16E-58,3.40E-56,479329
ENSCAFG00845003592,RTRAF,,2.171661145,8.009856528,257.3735923,6.41E-58,6.84E-56,610819
ENSCAFG00845030351,CASP7,caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508],2.053912157,7.750676411,256.9755065,7.83E-58,8.29E-56,486896
ENSCAFG00845021819,SLC25A6,solute carrier family 25 member 6 [Source:HGNC Symbol;Acc:HGNC:10992],1.701831607,10.87330896,256.5184836,9.85E-58,1.03E-55,480830
ENSCAFG00845019602,PRR13,proline rich 13 [Source:HGNC Symbol;Acc:HGNC:24528],2.321432939,8.50986099,256.5055006,9.91E-58,1.03E-55,100688649
ENSCAFG00845020365,CTDNEP1,CTD nuclear envelope phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:19085],1.944135923,7.599878397,256.0070461,1.27E-57,1.32E-55,607484
ENSCAFG00845023315,IRF3,interferon regulatory factor 3 [Source:HGNC Symbol;Acc:HGNC:6118],1.855941679,8.141183646,255.5937567,1.57E-57,1.61E-55,476412
ENSCAFG00845010340,MAD2L1BP,MAD2L1 binding protein [Source:HGNC Symbol;Acc:HGNC:21059],2.434842105,5.408480074,255.3089418,1.81E-57,1.84E-55,474916
ENSCAFG00845019033,RBX1,ring-box 1 [Source:HGNC Symbol;Acc:HGNC:9928],2.041782496,7.350778437,255.2472938,1.86E-57,1.88E-55,474494
ENSCAFG00845029455,CLK1,CDC like kinase 1 [Source:HGNC Symbol;Acc:HGNC:2068],2.308514216,7.229923687,254.4116878,2.84E-57,2.84E-55,478866
ENSCAFG00845028079,TRAPPC5,trafficking protein particle complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:23067],2.013192338,6.744965662,254.1532222,3.23E-57,3.21E-55,484997
ENSCAFG00845025832,RGS18,regulator of G protein signaling 18 [Source:HGNC Symbol;Acc:HGNC:14261],2.639318601,9.936031972,253.8359246,3.79E-57,3.74E-55,607858
ENSCAFG00845021451,SRSF7,,1.796996421,7.300882537,253.799356,3.86E-57,3.78E-55,475730
ENSCAFG00845022451,PSMD4,"proteasome 26S subunit ubiquitin receptor, non-ATPase 4 [Source:NCBI gene (formerly Entrezgene);Acc:100192385]",2.199592349,7.61956011,253.7349339,3.98E-57,3.87E-55,100192385
ENSCAFG00845010419,MRPS18A,mitochondrial ribosomal protein S18A [Source:HGNC Symbol;Acc:HGNC:14515],2.204301539,5.426873717,253.318825,4.91E-57,4.74E-55,474917
ENSCAFG00845024246,UROD,uroporphyrinogen decarboxylase [Source:HGNC Symbol;Acc:HGNC:12591],2.576153855,6.20560516,253.1220684,5.42E-57,5.19E-55,475378
ENSCAFG00845003501,,,1.940472149,11.26438279,252.6040061,7.03E-57,6.69E-55,607397
ENSCAFG00845004436,HSPB1,heat shock protein family B (small) member 1 [Source:NCBI gene (formerly Entrezgene);Acc:403979],3.34566379,7.004811356,252.0614188,9.23E-57,8.72E-55,403979
ENSCAFG00845003605,PDAP1,PDGFA associated protein 1 [Source:HGNC Symbol;Acc:HGNC:14634],1.602809549,6.506864478,251.9807971,9.61E-57,9.01E-55,489861
ENSCAFG00845003288,NBL1,,2.02805709,6.547931592,251.9444487,9.78E-57,9.12E-55,612968
ENSCAFG00845002182,DMAC2,,1.867752386,5.365528778,250.9988752,1.57E-56,1.46E-54,484486
ENSCAFG00845003578,PSME3IP1,proteasome activator subunit 3 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29856],1.831430091,6.597014389,250.0297493,2.56E-56,2.35E-54,478114
ENSCAFG00845012400,RBM14,RNA binding motif protein 14 [Source:HGNC Symbol;Acc:HGNC:14219],1.740603776,8.37953785,248.6138615,5.21E-56,4.75E-54,610648
ENSCAFG00845018527,RUVBL1,RuvB like AAA ATPase 1 [Source:HGNC Symbol;Acc:HGNC:10474],2.381817857,7.263381889,248.4529863,5.65E-56,5.12E-54,476512
ENSCAFG00845004651,RPS16,ribosomal protein S16 [Source:HGNC Symbol;Acc:HGNC:10396],2.179461701,10.6674888,248.4195555,5.74E-56,5.17E-54,476463
ENSCAFG00845011971,IL1RN,interleukin 1 receptor antagonist [Source:NCBI gene (formerly Entrezgene);Acc:403660],2.322189356,8.948483958,248.2473467,6.26E-56,5.60E-54,403660
ENSCAFG00845006496,,,1.842705697,10.13014598,248.1023841,6.73E-56,5.98E-54,475991
ENSCAFG00845019430,GTF2E1,general transcription factor IIE subunit 1 [Source:HGNC Symbol;Acc:HGNC:4650],1.936084238,5.26392542,247.8943548,7.47E-56,6.59E-54,488002
ENSCAFG00845021413,ITGB7,integrin subunit beta 7 [Source:HGNC Symbol;Acc:HGNC:6162],1.820532922,10.17242092,247.3915672,9.62E-56,8.43E-54,477598
ENSCAFG00845002902,PSMB5,proteasome 20S subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:9542],2.092263352,6.975319783,247.3139095,1.00E-55,8.70E-54,100855659
ENSCAFG00845021497,ATF4,activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786],2.459647556,10.80144231,245.266196,2.80E-55,2.40E-53,474503
ENSCAFG00845021252,PSMC3,,2.13157681,7.275147243,244.9998317,3.20E-55,2.73E-53,475980
ENSCAFG00845001738,,,2.467676783,9.022401536,244.0834953,5.06E-55,4.29E-53,479283
ENSCAFG00845017208,SRSF1,serine and arginine rich splicing factor 1 [Source:HGNC Symbol;Acc:HGNC:10780],1.742475313,8.292849013,243.6262938,6.37E-55,5.37E-53,609693
ENSCAFG00845024912,CRIP1,cysteine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:2360],2.647444384,11.00558491,243.5535948,6.61E-55,5.53E-53,612713
ENSCAFG00845019800,ANP32A,acidic nuclear phosphoprotein 32 family member A [Source:NCBI gene (formerly Entrezgene);Acc:403534],1.569059021,8.161700777,241.5939891,1.77E-54,1.47E-52,403534
ENSCAFG00845001628,EMP3,,2.452661699,10.12610696,239.6983196,4.58E-54,3.76E-52,484408
ENSCAFG00845014680,LUC7L3,LUC7 like 3 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:24309],1.702615758,7.568234588,236.9258365,1.84E-53,1.50E-51,100856465
ENSCAFG00845028078,RPL7,ribosomal protein L7 [Source:NCBI gene (formerly Entrezgene);Acc:477912],1.88569478,10.81501092,236.4981507,2.28E-53,1.85E-51,477912
ENSCAFG00845000796,CDC42,,1.531005549,9.442070445,236.1596734,2.70E-53,2.18E-51,119863888
ENSCAFG00845011022,CCM2,CCM2 scaffold protein [Source:HGNC Symbol;Acc:HGNC:21708],2.091295731,7.188424464,235.6275134,3.53E-53,2.83E-51,100856167
ENSCAFG00845012694,,,2.429101648,6.498572173,235.3531089,4.05E-53,3.23E-51,612329
ENSCAFG00845007729,CDC26,cell division cycle 26 [Source:HGNC Symbol;Acc:HGNC:17839],2.214704209,5.122124423,235.0863533,4.64E-53,3.67E-51,481679
ENSCAFG00845016932,RPS21,ribosomal protein S21 [Source:HGNC Symbol;Acc:HGNC:10409],2.843456548,10.77459757,234.918346,5.04E-53,3.97E-51,485959
ENSCAFG00845003850,KLHDC4,kelch domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25272],1.636570778,6.454301265,234.6365601,5.81E-53,4.55E-51,489668
ENSCAFG00845002699,MRPL22,,2.095376169,6.025369127,234.2250199,7.14E-53,5.56E-51,479320
ENSCAFG00845030562,TRMT112,tRNA methyltransferase activator subunit 11-2 [Source:HGNC Symbol;Acc:HGNC:26940],2.455585759,5.556482845,234.1797844,7.31E-53,5.65E-51,476033
ENSCAFG00845003611,MRPS11,mitochondrial ribosomal protein S11 [Source:HGNC Symbol;Acc:HGNC:14050],2.475865338,5.931117548,234.0927759,7.64E-53,5.87E-51,488727
ENSCAFG00845023581,CD68,CD68 molecule [Source:HGNC Symbol;Acc:HGNC:1693],2.674880849,8.352224135,233.3188918,1.13E-52,8.61E-51,111095877
ENSCAFG00845017467,DLA-DRA,MHC class II DR alpha chain [Source:NCBI gene (formerly Entrezgene);Acc:481731],2.329979697,12.79615394,233.1289907,1.24E-52,9.42E-51,481731
